,geo_id,geo_type,multi,single,condo,land,owner,rental,total_units,owner_pct,house_age_avg,sqft_avg,lot_size_avg,house_age,lot_size
0,27183,city,1,444,0,11,368,102,470,0.783,1975,1862.5935,12.151018,"{'t1990-99': 57, 't1980-89': 36, 't2010-19': 26, 't1969': 175, 't2000-09': 132, 't1970-79': 44}","{'a125': 4, 'a75': 26, 'a50': 74, 'a25': 37, 'a3': 241, 'a1': 26, 'a2': 62}"
1,20951,city,0,89,2,0,70,21,91,0.7692,1993,2079.5217,1.2361138,"{'t1990-99': 28, 't1980-89': 15, 't2010-19': 2, 't1969': 7, 't2000-09': 35, 't1970-79': 4}","{'a75': 24, 'a50': 35, 'a25': 6, 'a3': 9, 'a1': 7, 'a2': 10}"
2,18899,city,0,105,0,0,90,18,108,0.8333,1985,1725.0577,4.5775228,"{'t1990-99': 15, 't1980-89': 4, 't2010-19': 6, 't1969': 28, 't2000-09': 49, 't1970-79': 6}","{'a75': 24, 'a50': 17, 'a3': 36, 'a1': 11, 'a2': 20}"
3,14274,city,0,351,1,6,320,38,358,0.8939,1983,4057.4565,2.6779284,"{'t1990-99': 43, 't1980-89': 111, 't2010-19': 27, 't1969': 63, 't2000-09': 45, 't1970-79': 69}","{'a75': 1, 'a50': 1, 'a3': 169, 'a1': 77, 'a2': 110}"
4,10502,city,0,58,0,0,38,20,58,0.6552,1944,1200.9166,4.0071898,"{'t1990-99': 1, 't1980-89': 5, 't2010-19': 1, 't1969': 41, 't2000-09': 7, 't1970-79': 3}","{'a125': 1, 'a75': 11, 'a50': 10, 'a25': 13, 'a3': 10, 'a1': 6, 'a2': 7}"
5,53434,city,0,153,2,0,102,53,155,0.6581,1945,1953.1742,2.7445424,"{'t1990-99': 4, 't1980-89': 6, 't1969': 110, 't2000-09': 7, 't1970-79': 28}","{'a125': 13, 'a75': 9, 'a50': 35, 'a25': 70, 'a3': 23, 'a2': 5}"
6,3491,city,0,2,0,0,0,2,2,0.0,0,1704.0,21.6,{'t1969': 2},{'a3': 2}
7,6704,city,0,172,0,0,132,40,172,0.7674,1962,1564.0116,7.142422,"{'t1990-99': 27, 't1980-89': 20, 't2010-19': 3, 't1969': 79, 't2000-09': 16, 't1970-79': 27}","{'a125': 5, 'a75': 12, 'a50': 15, 'a25': 14, 'a3': 103, 'a1': 6, 'a2': 17}"
8,38211,city,0,64,0,5,51,18,69,0.7391,1945,1499.9464,1.1436243,"{'t1990-99': 2, 't1980-89': 4, 't1969': 50, 't2000-09': 3, 't1970-79': 10}","{'a125': 1, 'a50': 23, 'a25': 35, 'a3': 5, 'a1': 2, 'a2': 3}"
9,32778,city,54,2793,74,1,748,2174,2922,0.256,1963,1419.3347,1.3419889,"{'t1990-99': 347, 't1980-89': 140, 't2010-19': 17, 't1969': 1632, 't2000-09': 371, 't1970-79': 415}","{'a125': 155, 'a75': 374, 'a50': 1243, 'a25': 424, 'a3': 338, 'a1': 177, 'a2': 211}"
10,9573,city,3,3283,403,5,3449,248,3697,0.9329,1962,1686.3275,0.32617983,"{'t1990-99': 187, 't1980-89': 382, 't2010-19': 9, 't1969': 2510, 't2000-09': 141, 't1970-79': 468}","{'a125': 494, 'a75': 266, 'a50': 2204, 'a25': 582, 'a3': 17, 'a1': 78, 'a2': 56}"
11,73037,city,0,0,0,0,0,1,1,0.0,1978,1440.0,0.18000583,{'t1970-79': 1},{'a25': 1}
